"","id","direct_sd","bootstrap_sd"
"subsection1","M333Aa",3.0390566956071,3.40679734034319
"subsection2","M333Ab",3.79742626377801,3.44425890291937
"subsection3","M333Ac",3.65468127851189,3.66487804164195
"subsection4","M333Ad",8.24846077811921,6.47250512646153
"subsection5","M333Ai",4.26190022886285,3.67486229192875
"subsection6","M333Ba",3.7506020291339,2.65104015890386
"subsection7","M333Bb",4.21221534553168,1.62821927853785
"subsection8","M333Bc",3.72887403861784,1.44410401456107
"subsection9","M333Ca",3.4365043736729,3.14815244689106
"subsection10","M333Cb",2.76247550915312,1.65535350618442
"subsection11","M333Cc",1.9756612868658,5.69415790279804
"subsection12","M333Ce",2.48081998132715,2.58976879722638
"subsection13","M333Cf",3.45815326487699,2.53695597469156
"subsection14","M333Cg",1.48737167595411,2.42535644374389
"subsection15","M333Ch",1.56412499222015,2.76392227604224
"subsection16","M333Da",2.68876524813992,2.94513226969459
"subsection17","M333Db",1.65904640141533,3.37848893145078
"subsection18","M333Dc",2.97782750133569,1.98430456566858
"subsection19","M333Dd",7.6826002554914,3.40415026988335
"subsection20","M333De",2.71713816305594,3.6309743246225
